ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,VizSide
42067,"Christopher John ""Chris"" Goulding",M,27,192,93,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,NA,Gender
42117,Blake Govers,M,20,187,85,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,NA,Gender
42118,Kieran Govers,M,24,179,76,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,Gender
42131,"Donald ""Don"" Gowland",M,35,178,72,Australia,AUS,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",NA,Gender
42191,"Joshua ""Josh"" Grace",M,27,172,92,Australia,AUS,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Three Person Keelboat,NA,Gender
42195,Ricky Ray Grace,M,34,185,85,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,NA,Gender
42231,"Herbert Ephraim ""Harry"" Graetz",M,31,178,71,Australia,AUS,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Eights,NA,Gender
42267,Elka Graham (-Whalan),F,18,187,67,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA,Gender
42267,Elka Graham (-Whalan),F,18,187,67,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Gender
42267,Elka Graham (-Whalan),F,22,187,67,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Freestyle,NA,Gender
42267,Elka Graham (-Whalan),F,22,187,67,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Freestyle,NA,Gender
42267,Elka Graham (-Whalan),F,22,187,67,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,NA,Gender
