ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
33473,"Stephen Frederick ""Steve"" Evans",M,25,187,83,Australia,AUS,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Eights,NA
33527,Ruth Rhonda Everuss,F,16,167,66,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
33529,Hannah Every-Hall,F,34,165,57,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Lightweight Double Sculls,NA
33561,Marion Lynette Exelby (-Gray),F,20,162,56,Australia,AUS,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Individual",NA
33608,Allan Fa'alava'au,M,22,170,88,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,NA
33718,Darren Michael Fagan,M,28,176,69,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Lightweight,NA
33750,Thomas John Fahey,M,21,162,66,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Jumping, Individual",NA
33750,Thomas John Fahey,M,21,162,66,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Jumping, Team",NA
33750,Thomas John Fahey,M,25,162,66,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Individual",NA
33750,Thomas John Fahey,M,25,162,66,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Team",NA
33801,"Suzanne Helen ""Sue"" Fairhurst",F,26,182,68,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
33802,Stephen Fairless,M,26,186,80,Australia,AUS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",NA
33802,Stephen Fairless,M,26,186,80,Australia,AUS,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,NA
33804,Kate Fairweather (-Schmidt),F,25,164,60,Australia,AUS,2000 Summer,2000,Summer,Sydney,Archery,Archery Women's Individual,NA
33804,Kate Fairweather (-Schmidt),F,25,164,60,Australia,AUS,2000 Summer,2000,Summer,Sydney,Archery,Archery Women's Team,NA
33805,Simon John Fairweather,M,18,175,71,Australia,AUS,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
33805,Simon John Fairweather,M,18,175,71,Australia,AUS,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Team,NA
33805,Simon John Fairweather,M,22,175,71,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
33805,Simon John Fairweather,M,22,175,71,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Team,NA
33805,Simon John Fairweather,M,26,175,71,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
33805,Simon John Fairweather,M,26,175,71,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Team,NA
33805,Simon John Fairweather,M,30,175,71,Australia,AUS,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,Gold
33805,Simon John Fairweather,M,30,175,71,Australia,AUS,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Team,NA
33805,Simon John Fairweather,M,34,175,71,Australia,AUS,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
33805,Simon John Fairweather,M,34,175,71,Australia,AUS,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Team,NA
33873,Dana Faletic,F,27,178,74,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze
33873,Dana Faletic,F,34,178,74,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,NA
33927,"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,23,190,74,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze
33927,"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,28,190,74,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver
33927,"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,32,190,74,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver
33930,"Anthony ""Tony"" Falson",M,26,185,82,Australia,AUS,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,NA
34062,Frank Farina,M,24,178,77,Australia,AUS,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,NA
34104,Peter John Farmer,M,24,184,130,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Hammer Throw,NA
34104,Peter John Farmer,M,28,184,130,Australia,AUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Hammer Throw,NA
34129,Andrew Farrance,M,27,175,68,Australia,AUS,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",NA
34130,Mia Farrance,F,22,170,62,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, Slalom",NA
34134,Angela Farrell,F,26,167,58,Australia,AUS,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Three Person Keelboat,NA
34155,Renita Maree Farrell-Garard,F,24,167,65,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold
34155,Renita Maree Farrell-Garard,F,28,167,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold
34162,John Allan Farrington,M,26,174,61,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Marathon,NA
34170,John Farrow,M,31,188,85,Australia,AUS,2014 Winter,2014,Winter,Sochi,Skeleton,Skeleton Men's Skeleton,NA
34184,"Gregory John ""Greg"" Fasala",M,19,182,79,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
34265,"Suzanne Margaret ""Suzie"" Faulkner",F,25,164,64,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,NA
34267,"Marcus A. C. ""Marc"" Faulks",M,27,174,64,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,NA
34267,"Marcus A. C. ""Marc"" Faulks",M,27,174,64,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,NA
34267,"Marcus A. C. ""Marc"" Faulks",M,27,174,64,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,NA
34267,"Marcus A. C. ""Marc"" Faulks",M,27,174,64,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,NA
34267,"Marcus A. C. ""Marc"" Faulks",M,27,174,64,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Parallel Bars,NA
34267,"Marcus A. C. ""Marc"" Faulks",M,27,174,64,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,NA
34267,"Marcus A. C. ""Marc"" Faulks",M,27,174,64,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Rings,NA
34267,"Marcus A. C. ""Marc"" Faulks",M,27,174,64,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,NA
34364,"Joseph Ray ""Joe"" Fazio",M,26,182,82,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,Silver
34372,Jackson Campbell Fear,M,18,178,125,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
